,file,dialogId,ID,t,name,initialQuestion,question,answer,rank,nResult,nResult_reduction,delta_nResults,delta_Rank
16,20220131--quantEvalAllExcel.xlsx,36,7,2,Meldebescheinigung beantragen,Genesenen Bescheinigung,Geht es bei Ihrem Anliegen um beantragen?,True,1.0,7.0,0.6666666666666667,14.0,0.0
17,20220131--quantEvalAllExcel.xlsx,36,7,3,Meldebescheinigung beantragen,Genesenen Bescheinigung,Geht es bei Ihrem Anliegen um anerkennung?,False,1.0,4.0,0.4285714285714286,3.0,0.0
18,20220131--quantEvalAllExcel.xlsx,36,7,4,Meldebescheinigung beantragen,Genesenen Bescheinigung,Geht es bei Ihrem Anliegen um ausstellung?,False,1.0,2.0,0.5,2.0,0.0
19,20220131--quantEvalAllExcel.xlsx,47,9,0,Gaststättengewerbe - zum Unterrichtungsnachweis anmelden,"ab 15.1. ist für Gäste von Restaurants  Nachweis von 2G+ nötig, das gilt sicher genauso für das Personal dort ?",initialQuery,False,13.0,61.0,,,
20,20220131--quantEvalAllExcel.xlsx,47,9,1,Gaststättengewerbe - zum Unterrichtungsnachweis anmelden,"ab 15.1. ist für Gäste von Restaurants  Nachweis von 2G+ nötig, das gilt sicher genauso für das Personal dort ?",Geht es bei Ihrem Anliegen um beantragen?,False,10.0,48.0,0.21311475409836067,13.0,3.0
21,20220131--quantEvalAllExcel.xlsx,47,9,2,Gaststättengewerbe - zum Unterrichtungsnachweis anmelden,"ab 15.1. ist für Gäste von Restaurants  Nachweis von 2G+ nötig, das gilt sicher genauso für das Personal dort ?",Geht es bei Ihrem Anliegen um beruf?,False,10.0,37.0,0.22916666666666663,11.0,0.0
22,20220131--quantEvalAllExcel.xlsx,47,9,3,Gaststättengewerbe - zum Unterrichtungsnachweis anmelden,"ab 15.1. ist für Gäste von Restaurants  Nachweis von 2G+ nötig, das gilt sicher genauso für das Personal dort ?",Geht es bei Ihrem Anliegen um anmelden?,True,3.0,5.0,0.8648648648648649,32.0,7.0
23,20220131--quantEvalAllExcel.xlsx,47,9,4,Gaststättengewerbe - zum Unterrichtungsnachweis anmelden,"ab 15.1. ist für Gäste von Restaurants  Nachweis von 2G+ nötig, das gilt sicher genauso für das Personal dort ?",Geht es bei Ihrem Anliegen um ausstellung?,True,2.0,2.0,0.6,3.0,1.0
24,20220131--quantEvalAllExcel.xlsx,48,10,0,Coronavirus - Beschaffung von Tests beantragen,Ich habe mit einem Lateral-Flow-Test positiv getestet,initialQuery,False,1.0,1.0,,,
25,20220131--quantEvalAllExcel.xlsx,48,10,1,Coronavirus - Beschaffung von Tests beantragen,Ich habe mit einem Lateral-Flow-Test positiv getestet,Geht es bei Ihrem Anliegen um antigentest?,True,1.0,1.0,0.0,0.0,0.0
26,20220131--quantEvalAllExcel.xlsx,48,11,0,Coronavirus - Beschaffung von Tests beantragen,wo kann ich einen kostenlosen PCR-Test machen?,initialQuery,False,1.0,1.0,,,
27,20220131--quantEvalAllExcel.xlsx,48,11,1,Coronavirus - Beschaffung von Tests beantragen,wo kann ich einen kostenlosen PCR-Test machen?,Geht es bei Ihrem Anliegen um antigentest?,True,1.0,1.0,0.0,0.0,0.0
28,20220131--quantEvalAllExcel.xlsx,58,12,0,Reisepass beantragen,Termin Reisepass,initialQuery,False,3.0,8.0,,,
29,20220131--quantEvalAllExcel.xlsx,58,12,1,Reisepass beantragen,Termin Reisepass,Geht es bei Ihrem Anliegen um ausstellung?,True,2.0,4.0,0.5,4.0,1.0
30,20220131--quantEvalAllExcel.xlsx,58,12,2,Reisepass beantragen,Termin Reisepass,Geht es bei Ihrem Anliegen um ausweis?,True,1.0,2.0,0.5,2.0,1.0
31,20220131--quantEvalAllExcel.xlsx,73,13,0,Fundsachen - Verlorene Sachen zurückbekommen,Ich benötige eine Fundbüro Bescheinigung,initialQuery,False,2.0,60.0,,,
32,20220131--quantEvalAllExcel.xlsx,73,13,1,Fundsachen - Verlorene Sachen zurückbekommen,Ich benötige eine Fundbüro Bescheinigung,Geht es bei Ihrem Anliegen um bescheinigung?,False,2.0,39.0,0.35,21.0,0.0
33,20220131--quantEvalAllExcel.xlsx,73,13,2,Fundsachen - Verlorene Sachen zurückbekommen,Ich benötige eine Fundbüro Bescheinigung,Geht es bei Ihrem Anliegen um zulassungsbescheinigung?,False,2.0,27.0,0.3076923076923077,12.0,0.0
34,20220131--quantEvalAllExcel.xlsx,73,13,3,Fundsachen - Verlorene Sachen zurückbekommen,Ich benötige eine Fundbüro Bescheinigung,Geht es bei Ihrem Anliegen um ausstellung?,False,2.0,21.0,0.2222222222222222,6.0,0.0
35,20220131--quantEvalAllExcel.xlsx,73,13,4,Fundsachen - Verlorene Sachen zurückbekommen,Ich benötige eine Fundbüro Bescheinigung,Geht es bei Ihrem Anliegen um beantragen?,False,2.0,17.0,0.19047619047619047,4.0,0.0
36,20220131--quantEvalAllExcel.xlsx,73,13,5,Fundsachen - Verlorene Sachen zurückbekommen,Ich benötige eine Fundbüro Bescheinigung,Geht es bei Ihrem Anliegen um verlieren?,True,2.0,3.0,0.8235294117647058,14.0,0.0
37,20220131--quantEvalAllExcel.xlsx,79,14,0,Erstattung nach Infektionsschutzgesetz bei Tätigkeitsverbot/Quarantäne - Arbeitgeber/innen,"Sehr geehrter Bobbi, wir haben fragen zum Sars Cov 2. Leider kommen wir nirgendswo am Telefon durch. Mein Anliegen ist folgendes: mein Sohn wurde mit einem PCR test positiv getestet. Der Test wurde am Donnerstag 6.1. gemacht, seit Fr 7.1. wissen wir den Befund. Seit 6.1. ist mein sohn in Quarantäne. Können sie uns mitteilen wie lange er in Quarantäne bleiben soll, wie machen wir es mit einer offizielen Kranschreibung und was passiert mit den rest der Familie , im gleichen Haushalt ? Wir sind noch drei mitglieder die negativ sind und doppelt geimpft, zwei Erwachsene gebooster und ein Jugendlicher doppelt geimpft. Was tun ? Vielen dank für ihre Mühe. Mit freundlichen Grüßen J.Guerra",,,,,,,
38,20220131--quantEvalAllExcel.xlsx,83,15,0,Coronavirus - Beschaffung von Tests beantragen,Wo ich kann schnell pcr test machen,initialQuery,False,1.0,1.0,,,
39,20220131--quantEvalAllExcel.xlsx,83,15,1,Coronavirus - Beschaffung von Tests beantragen,Wo ich kann schnell pcr test machen,Geht es bei Ihrem Anliegen um antigentest?,True,1.0,1.0,0.0,0.0,0.0
40,20220131--quantEvalAllExcel.xlsx,93,16,0,Verlust des Personalausweises melden (Verlustanzeige),wir haben vor wenigen Tagen eine Anzeige erstellt bezüglich des Verlustes  von einem Personalausweis und heute haben wir dies wieder gefunden. wie sollen wir uns jetzt verhalten?,initialQuery,False,1.0,81.0,,,
41,20220131--quantEvalAllExcel.xlsx,93,16,1,Verlust des Personalausweises melden (Verlustanzeige),wir haben vor wenigen Tagen eine Anzeige erstellt bezüglich des Verlustes  von einem Personalausweis und heute haben wir dies wieder gefunden. wie sollen wir uns jetzt verhalten?,Geht es bei Ihrem Anliegen um anzeige?,False,1.0,52.0,0.3580246913580247,29.0,0.0
42,20220131--quantEvalAllExcel.xlsx,93,16,2,Verlust des Personalausweises melden (Verlustanzeige),wir haben vor wenigen Tagen eine Anzeige erstellt bezüglich des Verlustes  von einem Personalausweis und heute haben wir dies wieder gefunden. wie sollen wir uns jetzt verhalten?,Geht es bei Ihrem Anliegen um elektronisch?,True,1.0,12.0,0.7692307692307692,40.0,0.0
43,20220131--quantEvalAllExcel.xlsx,93,16,3,Verlust des Personalausweises melden (Verlustanzeige),wir haben vor wenigen Tagen eine Anzeige erstellt bezüglich des Verlustes  von einem Personalausweis und heute haben wir dies wieder gefunden. wie sollen wir uns jetzt verhalten?,Geht es bei Ihrem Anliegen um neu?,True,1.0,6.0,0.5,6.0,0.0
44,20220131--quantEvalAllExcel.xlsx,93,16,4,Verlust des Personalausweises melden (Verlustanzeige),wir haben vor wenigen Tagen eine Anzeige erstellt bezüglich des Verlustes  von einem Personalausweis und heute haben wir dies wieder gefunden. wie sollen wir uns jetzt verhalten?,Geht es bei Ihrem Anliegen um ausstellung?,False,1.0,3.0,0.5,3.0,0.0
45,20220131--quantEvalAllExcel.xlsx,94,17,0,Impfung - Nebenwirkung melden,C,,,,,,,
46,20220131--quantEvalAllExcel.xlsx,94,18,0,Impfung - Nebenwirkung melden,Symptome der Impfung,initialQuery,False,5.0,5.0,,,
47,20220131--quantEvalAllExcel.xlsx,94,18,1,Impfung - Nebenwirkung melden,Symptome der Impfung,Geht es bei Ihrem Anliegen um biontech?,False,3.0,3.0,0.4,2.0,2.0
48,20220131--quantEvalAllExcel.xlsx,98,19,0,Führungszeugnis beantragen,Führungszeugnis,initialQuery,False,1.0,1.0,,,
49,20220131--quantEvalAllExcel.xlsx,98,19,1,Führungszeugnis beantragen,Führungszeugnis,Geht es bei Ihrem Anliegen um amtlich?,True,1.0,1.0,0.0,0.0,0.0
50,20220131--quantEvalAllExcel.xlsx,100,20,0,Personalausweis beantragen,Personalausweis,initialQuery,False,2.0,39.0,,,
51,20220131--quantEvalAllExcel.xlsx,100,20,1,Personalausweis beantragen,Personalausweis,Geht es bei Ihrem Anliegen um elektronisch?,True,2.0,11.0,0.717948717948718,28.0,0.0
52,20220131--quantEvalAllExcel.xlsx,100,20,2,Personalausweis beantragen,Personalausweis,Geht es bei Ihrem Anliegen um neu?,True,2.0,6.0,0.4545454545454546,5.0,0.0
53,20220131--quantEvalAllExcel.xlsx,100,20,3,Personalausweis beantragen,Personalausweis,Geht es bei Ihrem Anliegen um ausstellung?,True,2.0,3.0,0.5,3.0,0.0
54,20220131--quantEvalAllExcel.xlsx,101,21,0,Anmeldung einer Wohnung,"Kann ich mich impfen lassen, wenn ich keinen Wohnsitz habe?",initialQuery,False,2.0,26.0,,,
55,20220131--quantEvalAllExcel.xlsx,101,21,1,Anmeldung einer Wohnung,"Kann ich mich impfen lassen, wenn ich keinen Wohnsitz habe?",Geht es bei Ihrem Anliegen um wohnsitz?,True,1.0,9.0,0.6538461538461539,17.0,1.0
56,20220131--quantEvalAllExcel.xlsx,101,21,2,Anmeldung einer Wohnung,"Kann ich mich impfen lassen, wenn ich keinen Wohnsitz habe?",Geht es bei Ihrem Anliegen um berlin?,False,1.0,5.0,0.4444444444444444,4.0,0.0
57,20220131--quantEvalAllExcel.xlsx,101,21,3,Anmeldung einer Wohnung,"Kann ich mich impfen lassen, wenn ich keinen Wohnsitz habe?",Geht es bei Ihrem Anliegen um adressänderung?,True,1.0,2.0,0.6,3.0,0.0
58,20220131--quantEvalAllExcel.xlsx,111,22,0,Online-Ausweisfunktion (eID) - PIN ändern / neu setzen,Pin eid,initialQuery,False,1.0,4.0,,,
59,20220131--quantEvalAllExcel.xlsx,111,22,1,Online-Ausweisfunktion (eID) - PIN ändern / neu setzen,Pin eid,Geht es bei Ihrem Anliegen um aktivieren?,True,1.0,2.0,0.5,2.0,0.0
60,20220131--quantEvalAllExcel.xlsx,113,23,0,Personalausweis beantragen,ich brauche einen vorzugstermin für personalausweis und passport,initialQuery,False,2.0,39.0,,,
61,20220131--quantEvalAllExcel.xlsx,113,23,1,Personalausweis beantragen,ich brauche einen vorzugstermin für personalausweis und passport,Geht es bei Ihrem Anliegen um elektronisch?,True,2.0,11.0,0.717948717948718,28.0,0.0
62,20220131--quantEvalAllExcel.xlsx,113,23,2,Personalausweis beantragen,ich brauche einen vorzugstermin für personalausweis und passport,Geht es bei Ihrem Anliegen um neu?,True,2.0,6.0,0.4545454545454546,5.0,0.0
63,20220131--quantEvalAllExcel.xlsx,113,23,3,Personalausweis beantragen,ich brauche einen vorzugstermin für personalausweis und passport,Geht es bei Ihrem Anliegen um ausstellung?,True,2.0,3.0,0.5,3.0,0.0
64,20220131--quantEvalAllExcel.xlsx,132,25,0,Personalausweis vorläufig beantragen,termin personalausweis,initialQuery,False,1.0,39.0,,,
65,20220131--quantEvalAllExcel.xlsx,132,25,1,Personalausweis vorläufig beantragen,termin personalausweis,Geht es bei Ihrem Anliegen um elektronisch?,True,1.0,11.0,0.717948717948718,28.0,0.0
66,20220131--quantEvalAllExcel.xlsx,132,25,2,Personalausweis vorläufig beantragen,termin personalausweis,Geht es bei Ihrem Anliegen um neu?,True,1.0,6.0,0.4545454545454546,5.0,0.0
67,20220131--quantEvalAllExcel.xlsx,132,25,3,Personalausweis vorläufig beantragen,termin personalausweis,Geht es bei Ihrem Anliegen um ausstellung?,True,1.0,3.0,0.5,3.0,0.0
68,20220131--quantEvalAllExcel.xlsx,132,26,0,Personalausweis vorläufig beantragen,termin personalausweis,initialQuery,False,1.0,39.0,,,
69,20220131--quantEvalAllExcel.xlsx,132,26,1,Personalausweis vorläufig beantragen,termin personalausweis,Geht es bei Ihrem Anliegen um elektronisch?,True,1.0,11.0,0.717948717948718,28.0,0.0
70,20220131--quantEvalAllExcel.xlsx,132,26,2,Personalausweis vorläufig beantragen,termin personalausweis,Geht es bei Ihrem Anliegen um neu?,True,1.0,6.0,0.4545454545454546,5.0,0.0
71,20220131--quantEvalAllExcel.xlsx,132,26,3,Personalausweis vorläufig beantragen,termin personalausweis,Geht es bei Ihrem Anliegen um ausstellung?,True,1.0,3.0,0.5,3.0,0.0
72,20220131--quantEvalAllExcel.xlsx,133,27,0,Personalausweis beantragen,antrag auf eine Blaue Karte,initialQuery,False,15.0,56.0,,,
73,20220131--quantEvalAllExcel.xlsx,133,27,1,Personalausweis beantragen,antrag auf eine Blaue Karte,Geht es bei Ihrem Anliegen um beantragen?,True,4.0,18.0,0.6785714285714286,38.0,11.0
74,20220131--quantEvalAllExcel.xlsx,133,27,2,Personalausweis beantragen,antrag auf eine Blaue Karte,Geht es bei Ihrem Anliegen um ausstellung?,True,2.0,5.0,0.7222222222222222,13.0,2.0
75,20220131--quantEvalAllExcel.xlsx,133,27,3,Personalausweis beantragen,antrag auf eine Blaue Karte,Geht es bei Ihrem Anliegen um ausland?,False,2.0,3.0,0.4,2.0,0.0
76,20220131--quantEvalAllExcel.xlsx,159,29,0,Aufenthaltserlaubnis auf einen neuen Pass übertragen,termin aufenthaltstitel in ein neuen pass übertragen,initialQuery,False,1.0,92.0,,,
77,20220131--quantEvalAllExcel.xlsx,159,29,1,Aufenthaltserlaubnis auf einen neuen Pass übertragen,termin aufenthaltstitel in ein neuen pass übertragen,Geht es bei Ihrem Anliegen um aufenthaltserlaubnis?,False,1.0,46.0,0.5,46.0,0.0
78,20220131--quantEvalAllExcel.xlsx,159,29,2,Aufenthaltserlaubnis auf einen neuen Pass übertragen,termin aufenthaltstitel in ein neuen pass übertragen,Geht es bei Ihrem Anliegen um beantragen?,False,1.0,30.0,0.34782608695652173,16.0,0.0
79,20220131--quantEvalAllExcel.xlsx,159,29,3,Aufenthaltserlaubnis auf einen neuen Pass übertragen,termin aufenthaltstitel in ein neuen pass übertragen,Geht es bei Ihrem Anliegen um pass?,True,1.0,10.0,0.6666666666666667,20.0,0.0
80,20220131--quantEvalAllExcel.xlsx,159,29,4,Aufenthaltserlaubnis auf einen neuen Pass übertragen,termin aufenthaltstitel in ein neuen pass übertragen,Geht es bei Ihrem Anliegen um paß?,True,1.0,5.0,0.5,5.0,0.0
81,20220131--quantEvalAllExcel.xlsx,159,29,5,Aufenthaltserlaubnis auf einen neuen Pass übertragen,termin aufenthaltstitel in ein neuen pass übertragen,Geht es bei Ihrem Anliegen um kinderreisepass?,False,1.0,3.0,0.4,2.0,0.0
82,20220131--quantEvalAllExcel.xlsx,160,30,0,Impfung gegen Corona (SARS-CoV-2) ,Johnson impfpung,,,,,,,
83,20220131--quantEvalAllExcel.xlsx,162,31,0,Coronavirus - Beschaffung von Tests beantragen,Termin für pcr-Test,initialQuery,False,1.0,1.0,,,
84,20220131--quantEvalAllExcel.xlsx,162,31,1,Coronavirus - Beschaffung von Tests beantragen,Termin für pcr-Test,Geht es bei Ihrem Anliegen um antigentest?,True,1.0,1.0,0.0,0.0,0.0
85,20220131--quantEvalAllExcel.xlsx,173,32,0,Kraftfahrzeug - Wiederzulassung eines länger als 7 Jahre abgemeldeten Fahrzeugs,Wie lange Isolation,initialQuery,False,1.0,1.0,,,
86,20220131--quantEvalAllExcel.xlsx,173,32,1,Kraftfahrzeug - Wiederzulassung eines länger als 7 Jahre abgemeldeten Fahrzeugs,Wie lange Isolation,Geht es bei Ihrem Anliegen um abmelden?,True,1.0,1.0,0.0,0.0,0.0
87,20220131--quantEvalAllExcel.xlsx,186,33,0,Kraftfahrzeug ummelden – nach einem Umzug nach Berlin,Kfz anmeldung,initialQuery,False,72.0,85.0,,,
88,20220131--quantEvalAllExcel.xlsx,186,33,1,Kraftfahrzeug ummelden – nach einem Umzug nach Berlin,Kfz anmeldung,Geht es bei Ihrem Anliegen um kraftfahrzeug?,True,24.0,29.0,0.6588235294117647,56.0,48.0
89,20220131--quantEvalAllExcel.xlsx,186,33,2,Kraftfahrzeug ummelden – nach einem Umzug nach Berlin,Kfz anmeldung,Geht es bei Ihrem Anliegen um zulassung?,True,11.0,14.0,0.5172413793103448,15.0,13.0
90,20220131--quantEvalAllExcel.xlsx,186,33,3,Kraftfahrzeug ummelden – nach einem Umzug nach Berlin,Kfz anmeldung,Geht es bei Ihrem Anliegen um anmeldung?,True,6.0,6.0,0.5714285714285714,8.0,5.0
91,20220131--quantEvalAllExcel.xlsx,186,33,4,Kraftfahrzeug ummelden – nach einem Umzug nach Berlin,Kfz anmeldung,Geht es bei Ihrem Anliegen um fahrzeug?,True,3.0,3.0,0.5,3.0,3.0
92,20220131--quantEvalAllExcel.xlsx,186,34,0,Kraftfahrzeug ummelden – nach einem Umzug nach Berlin,auto anmelden,initialQuery,False,72.0,85.0,,,
93,20220131--quantEvalAllExcel.xlsx,186,34,1,Kraftfahrzeug ummelden – nach einem Umzug nach Berlin,auto anmelden,Geht es bei Ihrem Anliegen um kraftfahrzeug?,True,24.0,29.0,0.6588235294117647,56.0,48.0
94,20220131--quantEvalAllExcel.xlsx,186,34,2,Kraftfahrzeug ummelden – nach einem Umzug nach Berlin,auto anmelden,Geht es bei Ihrem Anliegen um zulassung?,True,11.0,14.0,0.5172413793103448,15.0,13.0
95,20220131--quantEvalAllExcel.xlsx,186,34,3,Kraftfahrzeug ummelden – nach einem Umzug nach Berlin,auto anmelden,Geht es bei Ihrem Anliegen um anmeldung?,True,6.0,6.0,0.5714285714285714,8.0,5.0
96,20220131--quantEvalAllExcel.xlsx,186,34,4,Kraftfahrzeug ummelden – nach einem Umzug nach Berlin,auto anmelden,Geht es bei Ihrem Anliegen um fahrzeug?,True,3.0,3.0,0.5,3.0,3.0
97,20220131--quantEvalAllExcel.xlsx,194,37,0,Personalausweis beantragen,Termin Personalausweis,initialQuery,False,2.0,39.0,,,
98,20220131--quantEvalAllExcel.xlsx,194,37,1,Personalausweis beantragen,Termin Personalausweis,Geht es bei Ihrem Anliegen um elektronisch?,True,2.0,11.0,0.717948717948718,28.0,0.0
99,20220131--quantEvalAllExcel.xlsx,194,37,2,Personalausweis beantragen,Termin Personalausweis,Geht es bei Ihrem Anliegen um neu?,True,2.0,6.0,0.4545454545454546,5.0,0.0
100,20220131--quantEvalAllExcel.xlsx,194,37,3,Personalausweis beantragen,Termin Personalausweis,Geht es bei Ihrem Anliegen um ausstellung?,True,2.0,3.0,0.5,3.0,0.0
101,20220131--quantEvalAllExcel.xlsx,197,38,0,Online-Ausweisfunktion (eID) - PIN ändern / neu setzen,pin vom personalausweis neu setzen lassen,initialQuery,False,1.0,65.0,,,
102,20220131--quantEvalAllExcel.xlsx,197,38,1,Online-Ausweisfunktion (eID) - PIN ändern / neu setzen,pin vom personalausweis neu setzen lassen,Geht es bei Ihrem Anliegen um beantragung?,False,1.0,52.0,0.19999999999999996,13.0,0.0
103,20220131--quantEvalAllExcel.xlsx,197,38,2,Online-Ausweisfunktion (eID) - PIN ändern / neu setzen,pin vom personalausweis neu setzen lassen,Geht es bei Ihrem Anliegen um eu?,False,1.0,40.0,0.23076923076923073,12.0,0.0
104,20220131--quantEvalAllExcel.xlsx,197,38,3,Online-Ausweisfunktion (eID) - PIN ändern / neu setzen,pin vom personalausweis neu setzen lassen,Geht es bei Ihrem Anliegen um beantragenbeantragung?,False,1.0,32.0,0.19999999999999996,8.0,0.0
105,20220131--quantEvalAllExcel.xlsx,197,38,4,Online-Ausweisfunktion (eID) - PIN ändern / neu setzen,pin vom personalausweis neu setzen lassen,Geht es bei Ihrem Anliegen um meldung?,False,1.0,25.0,0.21875,7.0,0.0
106,20220131--quantEvalAllExcel.xlsx,197,38,5,Online-Ausweisfunktion (eID) - PIN ändern / neu setzen,pin vom personalausweis neu setzen lassen,Geht es bei Ihrem Anliegen um pass?,False,1.0,19.0,0.24,6.0,0.0
107,20220131--quantEvalAllExcel.xlsx,197,38,6,Online-Ausweisfunktion (eID) - PIN ändern / neu setzen,pin vom personalausweis neu setzen lassen,Geht es bei Ihrem Anliegen um besitz?,False,1.0,16.0,0.1578947368421053,3.0,0.0
108,20220131--quantEvalAllExcel.xlsx,197,38,7,Online-Ausweisfunktion (eID) - PIN ändern / neu setzen,pin vom personalausweis neu setzen lassen,Geht es bei Ihrem Anliegen um elektronisch?,True,1.0,3.0,0.8125,13.0,0.0
109,20220131--quantEvalAllExcel.xlsx,199,39,0,Beihilfe zu Krankheitskosten - Auskunftserteilung,wie stelle ich online beihilfe,initialQuery,False,1.0,46.0,,,
110,20220131--quantEvalAllExcel.xlsx,199,39,1,Beihilfe zu Krankheitskosten - Auskunftserteilung,wie stelle ich online beihilfe,Geht es bei Ihrem Anliegen um online?,False,1.0,32.0,0.30434782608695654,14.0,0.0
111,20220131--quantEvalAllExcel.xlsx,199,39,2,Beihilfe zu Krankheitskosten - Auskunftserteilung,wie stelle ich online beihilfe,Geht es bei Ihrem Anliegen um glücksspiel?,False,1.0,26.0,0.1875,6.0,0.0
112,20220131--quantEvalAllExcel.xlsx,199,39,3,Beihilfe zu Krankheitskosten - Auskunftserteilung,wie stelle ich online beihilfe,Geht es bei Ihrem Anliegen um sondernutzung?,False,1.0,20.0,0.23076923076923073,6.0,0.0
113,20220131--quantEvalAllExcel.xlsx,199,39,4,Beihilfe zu Krankheitskosten - Auskunftserteilung,wie stelle ich online beihilfe,Geht es bei Ihrem Anliegen um versicherung?,True,1.0,6.0,0.7,14.0,0.0
114,20220131--quantEvalAllExcel.xlsx,199,39,5,Beihilfe zu Krankheitskosten - Auskunftserteilung,wie stelle ich online beihilfe,Geht es bei Ihrem Anliegen um auskunftserteilung?,True,1.0,2.0,0.6666666666666667,4.0,0.0
115,20220131--quantEvalAllExcel.xlsx,199,40,0,Beihilfe zu Krankheitskosten - Auskunftserteilung,beihilfe online ?,initialQuery,False,1.0,60.0,,,
116,20220131--quantEvalAllExcel.xlsx,199,40,1,Beihilfe zu Krankheitskosten - Auskunftserteilung,beihilfe online ?,Geht es bei Ihrem Anliegen um online?,False,1.0,46.0,0.23333333333333328,14.0,0.0
117,20220131--quantEvalAllExcel.xlsx,199,40,2,Beihilfe zu Krankheitskosten - Auskunftserteilung,beihilfe online ?,Geht es bei Ihrem Anliegen um beruf?,False,1.0,36.0,0.21739130434782605,10.0,0.0
118,20220131--quantEvalAllExcel.xlsx,199,40,3,Beihilfe zu Krankheitskosten - Auskunftserteilung,beihilfe online ?,Geht es bei Ihrem Anliegen um beantragen?,False,1.0,28.0,0.2222222222222222,8.0,0.0
119,20220131--quantEvalAllExcel.xlsx,199,40,4,Beihilfe zu Krankheitskosten - Auskunftserteilung,beihilfe online ?,Geht es bei Ihrem Anliegen um bereitstellung?,False,1.0,23.0,0.1785714285714286,5.0,0.0
